"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","23/47","217/11300",0.105990783410138,25.4828904794588,23.534157954629,1.08836248990049e-27,9.95851678258948e-25,8.06533887252574e-25,"IRF7/OAS1/IFITM1/IRF9/STAT1/PARP9/RIGI/ISG15/OASL/OAS3/IFIT1/IFI16/IFI27/IFIT2/MX1/IFIT3/IFI6/OAS2/EIF2AK2/PLSCR1/IFIH1/DDX60/DTX3L",23
"GO:0009615","response to virus","24/47","280/11300",0.0857142857142857,20.6079027355623,21.4710921678604,1.03553354643433e-26,4.73756597493705e-24,3.8369242983672e-24,"IRF7/OAS1/IFITM1/IRF9/STAT1/PARP9/RIGI/IFI44/ISG15/OASL/OAS3/IFIT1/IFI16/IFI27/IFIT2/MX1/IFIT3/IFI6/OAS2/EIF2AK2/PLSCR1/IFIH1/DDX60/DTX3L",24
"GO:0048525","negative regulation of viral process","14/47","59/11300",0.23728813559322,57.0501262170934,27.895548208829,6.37815554478207e-22,1.94533744115853e-19,1.57551631702687e-19,"OAS1/IFITM1/STAT1/ISG15/OASL/OAS3/IFIT1/IFI16/MX1/OAS2/EIF2AK2/PLSCR1/TRIM14/IFIH1",14
"GO:0045071","negative regulation of viral genome replication","12/47","38/11300",0.315789473684211,75.9238521836506,29.8977777409207,1.45950172561982e-20,3.33861019735534e-18,2.70391898641146e-18,"OAS1/IFITM1/ISG15/OASL/OAS3/IFIT1/IFI16/MX1/OAS2/EIF2AK2/PLSCR1/IFIH1",12
"GO:0050792","regulation of viral process","14/47","112/11300",0.125,30.0531914893617,19.9692338526116,9.96217275894888e-18,1.82307761488765e-15,1.47649886785263e-15,"OAS1/IFITM1/STAT1/ISG15/OASL/OAS3/IFIT1/IFI16/MX1/OAS2/EIF2AK2/PLSCR1/TRIM14/IFIH1",14
"GO:0045069","regulation of viral genome replication","12/47","65/11300",0.184615384615385,44.3862520458265,22.6702885906837,2.00915920227027e-17,3.06396778346216e-15,2.48148785683907e-15,"OAS1/IFITM1/ISG15/OASL/OAS3/IFIT1/IFI16/MX1/OAS2/EIF2AK2/PLSCR1/IFIH1",12
"GO:0140374","antiviral innate immune response","11/47","61/11300",0.180327868852459,43.3554237879316,21.4360562102086,6.5764757689037e-16,8.59639332649555e-14,6.96216382151609e-14,"OAS1/RIGI/OASL/OAS3/IFIT1/IFIT2/MX1/IFIT3/OAS2/EIF2AK2/IFIH1",11
"GO:0019079","viral genome replication","12/47","89/11300",0.134831460674157,32.4169256514463,19.2296458144806,1.10505771106556e-15,1.12347533958332e-13,9.09895472035268e-14,"OAS1/IFITM1/ISG15/OASL/OAS3/IFIT1/IFI16/MX1/OAS2/EIF2AK2/PLSCR1/IFIH1",12
"GO:1903900","regulation of viral life cycle","12/47","89/11300",0.134831460674157,32.4169256514463,19.2296458144806,1.10505771106556e-15,1.12347533958332e-13,9.09895472035268e-14,"OAS1/IFITM1/ISG15/OASL/OAS3/IFIT1/IFI16/MX1/OAS2/EIF2AK2/PLSCR1/IFIH1",12
"GO:0016032","viral process","17/47","300/11300",0.0566666666666667,13.6241134751773,14.32187728742,1.37696880771925e-15,1.25992645906312e-13,1.02040635856248e-13,"IRF7/OAS1/IFITM1/STAT1/PARP9/ISG15/OASL/OAS3/IFIT1/IFI16/MX1/OAS2/EIF2AK2/PLSCR1/TRIM14/PARP10/IFIH1",17
