"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0051607","defense response to virus",196,-0.728271938385844,-3.1676179332668,1e-10,2.11095238095238e-08,1.4368588478072e-08,372,"tags=19%, list=3%, signal=19%","ENSG00000136560/ENSG00000185201/ENSG00000132109/ENSG00000076685/ENSG00000165732/ENSG00000176171/ENSG00000172936/ENSG00000118503/ENSG00000153147/ENSG00000079785/ENSG00000105939/ENSG00000080824/ENSG00000124201/ENSG00000170581/ENSG00000142089/ENSG00000121060/ENSG00000130813/ENSG00000138646/ENSG00000184979/ENSG00000181381/ENSG00000160710/ENSG00000152778/ENSG00000055332/ENSG00000101347/ENSG00000115267/ENSG00000188313/ENSG00000119917/ENSG00000163840/ENSG00000137628/ENSG00000115415/ENSG00000111331/ENSG00000089127/ENSG00000138496/ENSG00000185507/ENSG00000157601/ENSG00000187608/ENSG00000185745/ENSG00000126709",NA
"GO:0048525","negative regulation of viral process",51,-0.860578306136006,-3.07347574889651,1e-10,2.11095238095238e-08,1.4368588478072e-08,350,"tags=35%, list=3%, signal=34%","ENSG00000185201/ENSG00000132109/ENSG00000105939/ENSG00000124201/ENSG00000142089/ENSG00000130813/ENSG00000152778/ENSG00000067066/ENSG00000055332/ENSG00000115267/ENSG00000106785/ENSG00000188313/ENSG00000115415/ENSG00000111331/ENSG00000089127/ENSG00000157601/ENSG00000187608/ENSG00000185745",NA
"GO:0045069","regulation of viral genome replication",56,-0.832105342539524,-3.04053626231101,1e-10,2.11095238095238e-08,1.4368588478072e-08,154,"tags=29%, list=1%, signal=28%","ENSG00000105939/ENSG00000108654/ENSG00000124201/ENSG00000142089/ENSG00000130813/ENSG00000169429/ENSG00000160710/ENSG00000152778/ENSG00000055332/ENSG00000115267/ENSG00000188313/ENSG00000111331/ENSG00000089127/ENSG00000157601/ENSG00000187608/ENSG00000185745",NA
"GO:0009615","response to virus",253,-0.672034178376487,-2.98987289485286,1e-10,2.11095238095238e-08,1.4368588478072e-08,372,"tags=16%, list=3%, signal=16%","ENSG00000136560/ENSG00000185201/ENSG00000027697/ENSG00000132109/ENSG00000076685/ENSG00000165732/ENSG00000176171/ENSG00000172936/ENSG00000118503/ENSG00000153147/ENSG00000079785/ENSG00000105939/ENSG00000080824/ENSG00000124201/ENSG00000100644/ENSG00000170581/ENSG00000142089/ENSG00000121060/ENSG00000130813/ENSG00000138646/ENSG00000184979/ENSG00000181381/ENSG00000160710/ENSG00000152778/ENSG00000055332/ENSG00000101347/ENSG00000115267/ENSG00000188313/ENSG00000119917/ENSG00000163840/ENSG00000137628/ENSG00000115415/ENSG00000111331/ENSG00000089127/ENSG00000138496/ENSG00000185507/ENSG00000157601/ENSG00000187608/ENSG00000185745/ENSG00000126709",NA
"GO:0045071","negative regulation of viral genome replication",32,-0.895177004607802,-2.94230682996574,1e-10,2.11095238095238e-08,1.4368588478072e-08,154,"tags=41%, list=1%, signal=40%","ENSG00000105939/ENSG00000124201/ENSG00000142089/ENSG00000130813/ENSG00000152778/ENSG00000055332/ENSG00000115267/ENSG00000188313/ENSG00000111331/ENSG00000089127/ENSG00000157601/ENSG00000187608/ENSG00000185745",NA
"GO:1903900","regulation of viral life cycle",78,-0.761112834515429,-2.93299152463933,1e-10,2.11095238095238e-08,1.4368588478072e-08,350,"tags=24%, list=3%, signal=24%","ENSG00000185201/ENSG00000132109/ENSG00000105939/ENSG00000108654/ENSG00000124201/ENSG00000142089/ENSG00000121060/ENSG00000130813/ENSG00000169429/ENSG00000160710/ENSG00000152778/ENSG00000055332/ENSG00000115267/ENSG00000188313/ENSG00000111331/ENSG00000089127/ENSG00000157601/ENSG00000187608/ENSG00000185745",NA
"GO:0034340","response to type I interferon",92,-0.746954503132211,-2.90074728562202,1e-10,2.11095238095238e-08,1.4368588478072e-08,924,"tags=30%, list=7%, signal=28%","ENSG00000198791/ENSG00000163512/ENSG00000140853/ENSG00000183735/ENSG00000078140/ENSG00000173692/ENSG00000100519/ENSG00000175354/ENSG00000041357/ENSG00000163636/ENSG00000136560/ENSG00000185201/ENSG00000172936/ENSG00000100911/ENSG00000092010/ENSG00000170581/ENSG00000142089/ENSG00000130813/ENSG00000184979/ENSG00000067066/ENSG00000101347/ENSG00000115415/ENSG00000111331/ENSG00000089127/ENSG00000185507/ENSG00000157601/ENSG00000187608/ENSG00000185745",NA
"GO:0140888","interferon-mediated signaling pathway",64,-0.780112510869065,-2.89510955193355,1e-10,2.11095238095238e-08,1.4368588478072e-08,924,"tags=34%, list=7%, signal=32%","ENSG00000198791/ENSG00000163512/ENSG00000140853/ENSG00000183735/ENSG00000078140/ENSG00000175354/ENSG00000136560/ENSG00000185201/ENSG00000027697/ENSG00000172936/ENSG00000170581/ENSG00000142089/ENSG00000184979/ENSG00000173193/ENSG00000067066/ENSG00000101347/ENSG00000115415/ENSG00000111331/ENSG00000089127/ENSG00000138496/ENSG00000185507/ENSG00000187608",NA
"GO:0071357","cellular response to type I interferon",87,-0.734022191422585,-2.87961123233306,1e-10,2.11095238095238e-08,1.4368588478072e-08,924,"tags=30%, list=7%, signal=28%","ENSG00000198791/ENSG00000163512/ENSG00000140853/ENSG00000183735/ENSG00000078140/ENSG00000173692/ENSG00000100519/ENSG00000175354/ENSG00000041357/ENSG00000163636/ENSG00000136560/ENSG00000185201/ENSG00000172936/ENSG00000100911/ENSG00000092010/ENSG00000170581/ENSG00000142089/ENSG00000184979/ENSG00000067066/ENSG00000101347/ENSG00000115415/ENSG00000111331/ENSG00000089127/ENSG00000185507/ENSG00000187608/ENSG00000185745",NA
"GO:0050792","regulation of viral process",101,-0.741608352062762,-2.87542605121899,1e-10,2.11095238095238e-08,1.4368588478072e-08,154,"tags=20%, list=1%, signal=20%","ENSG00000105939/ENSG00000108654/ENSG00000124201/ENSG00000142089/ENSG00000121060/ENSG00000130813/ENSG00000169429/ENSG00000160710/ENSG00000152778/ENSG00000067066/ENSG00000055332/ENSG00000115267/ENSG00000106785/ENSG00000188313/ENSG00000115415/ENSG00000111331/ENSG00000089127/ENSG00000157601/ENSG00000187608/ENSG00000185745",NA
