"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa05164","Influenza A",97,-0.706291989003164,-2.79696866053239,1e-10,1.65e-08,1.65e-08,731,"tags=23%, list=6%, signal=21%","10241/841/29110/3836/8766/6347/5371/3459/1965/4615/4792/6773/7706/3576/103/5610/64135/6772/4940/4938/3665/4599",NA
"hsa05171","Coronavirus disease",147,-0.65440102543749,-2.76892493713293,1e-10,1.65e-08,1.65e-08,599,"tags=17%, list=5%, signal=16%","29110/6229/2244/6170/6347/23118/6133/200916/727/4615/4792/6773/2243/3576/718/103/716/5610/715/64135/6772/4940/4938/4599/9636",NA
"hsa05160","Hepatitis C",106,-0.672373164343714,-2.72688578171325,9.20929642739182e-10,6.0781356420786e-08,6.0781356420786e-08,661,"tags=15%, list=6%, signal=14%","3646/841/7531/29110/5520/1965/9076/4792/6773/5610/6772/4940/4938/3665/4599/3434",0.801215574617779
"hsa05162","Measles",81,-0.708405733133606,-2.71249216198915,1.1172418943169e-09,6.14483041874297e-08,6.14483041874297e-08,221,"tags=16%, list=2%, signal=16%","1965/4615/7128/4792/6773/103/5610/64135/6772/4940/4938/3665/4599",0.788186810800237
"hsa05168","Herpes simplex virus 1 infection",115,-0.657576901525225,-2.69987296420061,1.72572993190289e-10,1.89830292509318e-08,1.89830292509318e-08,657,"tags=24%, list=6%, signal=23%","841/330/29110/6891/6890/3133/6347/5371/3106/23118/3459/1965/727/4615/56829/3107/567/4792/2923/6773/718/6672/5610/64135/6772/4940/4938/3665",0.826657301178302
"hsa04621","NOD-like receptor signaling pathway",109,-0.654729933837208,-2.6398166468532,4.06661298403515e-10,3.354955711829e-08,3.354955711829e-08,754,"tags=25%, list=7%, signal=23%","10059/8767/90550/841/84168/330/7531/29110/7417/6347/2635/23118/10010/10135/2921/4615/7128/3320/2919/4792/6773/2920/3576/6772/4940/4938/3665",0.814035837847908
"hsa04622","RIG-I-like receptor signaling pathway",45,-0.719460205845894,-2.46434868134153,9.52024150175815e-06,0.000349075521731132,0.000349075521731132,683,"tags=27%, list=6%, signal=25%","64343/841/29110/10010/57169/4792/7706/3576/103/64135/3665/9636",0.593325476396405
"hsa05169","Epstein-Barr virus infection",138,-0.58133582880684,-2.4235662722149,9.30925102504541e-08,3.84006604783123e-06,3.84006604783123e-06,657,"tags=17%, list=6%, signal=17%","841/29110/6891/6890/3133/5707/3106/5706/23118/9861/4615/7128/3066/3107/567/4792/2923/6773/5610/6772/4940/4938/3665/9636",0.704975715167238
"hsa04612","Antigen processing and presentation",35,-0.713375659862058,-2.35373373107833,8.93459010085434e-05,0.00245701227773494,0.00245701227773494,1036,"tags=51%, list=9%, signal=47%","3134/3312/4800/3306/6891/6890/3133/3106/4801/1520/3320/3308/3107/567/3309/2923/5721/5720",0.538434096309916
"hsa05140","Leishmaniasis",33,-0.706526571134646,-2.28979884852556,0.000151335225073049,0.00384158648262356,0.00384158648262356,708,"tags=30%, list=6%, signal=28%","7042/1917/23118/3688/3459/4615/4792/5743/718/6772",0.518848077743792
"hsa04657","IL-17 signaling pathway",56,-0.632581087423949,-2.28482707216448,6.03854934438849e-05,0.00181156480331655,0.00181156480331655,760,"tags=32%, list=7%, signal=30%","5597/841/29761/29110/6347/23118/3934/2921/7128/3320/2919/4792/7184/5743/2920/6374/3576/6364",0.557332238758646
"hsa05133","Pertussis",38,-0.696919623545697,-2.28269081766614,0.000163829754284428,0.00386170135099009,0.00386170135099009,352,"tags=24%, list=3%, signal=23%","3688/840/727/4615/6374/3576/718/716/715",0.518848077743792
"hsa04620","Toll-like receptor signaling pathway",56,-0.608996774632928,-2.19964261531839,0.000225784467389479,0.00496725828256853,0.00496725828256853,657,"tags=18%, list=6%, signal=17%","841/29110/23118/4615/1326/4792/6773/3576/6772/3665",0.518848077743792
"hsa05322","Systemic lupus erythematosus",35,-0.6572984964195,-2.16871100243146,0.00104844866734699,0.0182279777335237,0.0182279777335237,215,"tags=17%, list=2%, signal=17%","6737/6741/727/718/716/715",0.45505986738723
"hsa04610","Complement and coagulation cascades",27,-0.691571802179036,-2.1521577137982,0.00195209699399077,0.0271315843020459,0.0271315843020459,1815,"tags=52%, list=16%, signal=44%","624/4179/7448/5329/5627/7035/2244/7056/727/1604/2243/718/716/715",0.45505986738723
"hsa04623","Cytosolic DNA-sensing pathway",49,-0.590819646386074,-2.12852244417036,0.00104948962708167,0.0182279777335237,0.0182279777335237,657,"tags=16%, list=6%, signal=15%","841/29110/5440/840/4792/103/25939/3665",0.45505986738723
"hsa05134","Legionellosis",39,-0.621734759860743,-2.12616253287536,0.00245207700331902,0.0299698300405658,0.0299698300405658,1695,"tags=44%, list=15%, signal=37%","9554/5861/10767/56681/3312/841/1917/3329/840/664/2921/4615/2919/4792/2920/3576/718",0.431707695803346
