"Package","Version"
"ballgown","2.42.0"
"limma","3.66.0"
"edgeR","4.8.0"
"DESeq2","1.50.2"
"rtracklayer","1.70.0"
"GenomicRanges","1.62.0"
"GenomicFeatures","1.62.0"
"biomaRt","2.66.0"
"maser","1.28.0"
"DEXSeq","1.56.0"
"clusterProfiler","4.18.4"
"org.Hs.eg.db","3.22.0"
"ReactomePA","1.54.0"
"enrichplot","1.30.4"
"ggplot2","4.0.1"
"ggrepel","0.9.6"
"pheatmap","1.0.13"
"RColorBrewer","1.1.3"
"viridis","0.6.5"
"cowplot","1.2.0"
"patchwork","1.3.2"
"dplyr","1.1.4"
"tidyr","1.3.1"
"stringr","1.6.0"
"readr","2.1.6"
"data.table","1.17.8"
"knitr","1.50"
"rmarkdown","2.30"
"kableExtra","1.4.0"
"devtools","2.4.6"
"BiocManager","1.30.27"
"remotes","2.5.0"
"sessioninfo","1.2.3"
