"gene_symbol","gene_id","gene_biotype","baseMean","log2FoldChange","pvalue","padj"
"IFI6","ENSG00000126709.16","protein-coding",1188.83027819558,-4.28602292025484,8.42415870715793e-230,1.09606728938832e-225
"IFIT1","ENSG00000185745.10","protein-coding",586.209602689594,-4.26146861986649,2.7978135367102e-140,1.82011759630682e-136
"ISG15","ENSG00000187608.10","protein-coding",483.916084479173,-3.73462767211646,1.38357831912767e-126,6.00057917005669e-123
"MX1","ENSG00000157601.15","protein-coding",324.197245696845,-4.7634161015782,4.59540586592337e-96,1.49477064303822e-92
"PARP9","ENSG00000138496.17","protein-coding",744.464518963428,-2.0561395106918,1.47626975638942e-73,3.26187067357729e-70
"IRF7","ENSG00000185507.21","protein-coding",357.18171310225,-3.17817720488666,1.50420598274258e-73,3.26187067357729e-70
"OAS1","ENSG00000089127.15","protein-coding",1878.47431043609,-1.54684292532748,1.67075018664263e-68,3.10544723977247e-65
"OAS3","ENSG00000111331.14","protein-coding",4954.22492380119,-1.36077360051719,3.95793191278073e-53,6.43708151464876e-50
"STAT1","ENSG00000115415.21","protein-coding",5339.85094893296,-1.2920450520934,2.09155449566931e-45,3.02369061590594e-42
"DDX60","ENSG00000137628.18","protein-coding",269.375188701018,-2.19071464136205,1.77196114514013e-39,2.30549864594182e-36
"HELZ2","ENSG00000130589.16","protein-coding",1401.90251641899,-1.445891945969,2.78716777225049e-37,3.29671271679556e-34
"DTX3L","ENSG00000163840.10","protein-coding",782.926092827776,-1.3610130985034,1.70937034092227e-35,1.85338479214497e-32
"IFIT3","ENSG00000119917.15","protein-coding",215.168355557881,-1.90120145381906,4.01462572968239e-32,4.01802272068443e-29
"PLSCR1","ENSG00000188313.13","protein-coding",1590.60713849651,-1.03754191861145,3.42184051904802e-25,3.18011192809527e-22
"TRIM14","ENSG00000106785.15","protein-coding",908.582211276473,-1.10804698522849,1.05135455675729e-24,9.11944942531274e-22
"IFIH1","ENSG00000115267.10","protein-coding",195.679997006082,-1.74838748746681,1.19883045229171e-24,9.74873938422963e-22
"HERC6","ENSG00000138642.16","protein-coding",302.334300282302,-1.3750496764457,2.06378232509998e-22,1.57952187246329e-19
"IFI35","ENSG00000068079.8","protein-coding",650.288231493412,-1.09638600005312,3.88566511495876e-22,2.80868826726269e-19
"EIF2AK2","ENSG00000055332.19","protein-coding",1849.86021634322,-1.02334124861684,8.47508690221825e-18,5.25092169927436e-15
"SP110","ENSG00000135899.20","protein-coding",233.951479292833,-1.1679110889124,6.23870402771412e-16,3.24687112418354e-13
"KRT4","ENSG00000170477.13","protein-coding",115.336362713846,1.03357890963062,1.04594159238935e-08,3.09289683149496e-06
"SAMD9","ENSG00000205413.8","protein-coding",181.125479555137,-1.30919729136906,2.45550983698089e-06,0.000456409121270833
