"seqid","strand","gene_name","gene_id","event_type","ref_exon_start","ref_exon_end","start","end","is_intron","other_exon_start","other_exon_end","is_denovo","ref_exon_denovo","other_exon_denovo","event_denovo","dpsi_mean","dpsi_std","probability_changing","probability_nonchanging","control_raw_psi_mean","control_raw_psi_std","control_bootstrap_psi_std","control_raw_coverage","infected_raw_psi_mean","infected_raw_psi_std","infected_bootstrap_psi_std","infected_raw_coverage"
"chr1","-","ENSG00000293331","ENSG00000293331.1","t",628919,629006,629006,633044,"False",633044,633129,"False","False","False","True",-1e-04,0.0145,2.806e-09,1,0.0032,0.0055,0.0057,0,0.0017,0.003,0.0031,0
"chr1","-","ENSG00000293331","ENSG00000293331.1","t",628919,629006,629006,631131,"False",631131,631204,"False","False","False","True",-1e-04,0.0145,2.806e-09,1,0.0032,0.0055,0.0057,0,0.0017,0.003,0.0031,0
"chr1","-","ENSG00000293331","ENSG00000293331.1","t",628919,629006,629007,631130,"True",631131,631204,"True","False","False","True",4e-04,0.0147,1.055e-08,1,0.9936,0.0078,0.0081,103.3017,0.9966,0.0042,0.0043,192.3862
"chr1","-","ENSG00000293331","ENSG00000293331.1","s",633044,633129,629006,633044,"False",628919,629006,"False","False","False","True",-1e-04,0.0145,1.114e-08,1,0.003,0.0043,0.0043,0,0.0015,0.0021,0.0021,0
"chr1","-","ENSG00000293331","ENSG00000293331.1","s",633044,633129,631205,633043,"True",631131,631204,"True","False","False","True",1e-04,0.0145,7.627e-09,1,0.997,0.0043,0.0043,163.5,0.9985,0.0021,0.0021,340.5
"chr1","-","NOC2L","ENSG00000188976.11","s",945042,945146,944800,945057,"False",944203,944800,"False","False","False","False",0.0049,0.0304,0.002917,0.9616,0.6233,0.0563,0.081,45,0.6684,0.0473,0.0713,65
"chr1","-","NOC2L","ENSG00000188976.11","s",945042,945146,944800,945042,"False",944203,944800,"False","False","False","False",-0.0049,0.0304,0.002917,0.9616,0.3767,0.0563,0.081,27,0.3316,0.0473,0.0713,32
"chr1","-","NOC2L","ENSG00000188976.11","s",945518,945653,945422,945518,"False",945319,945422,"False","False","False","False",-3e-04,0.0149,-4.537e-08,0.9999,0.0062,0.0086,0.0087,0,0.0048,0.0067,0.0067,0
"chr1","-","NOC2L","ENSG00000188976.11","s",945518,945653,945146,945518,"False",945042,945146,"False","False","False","False",3e-04,0.0149,-8.222e-09,0.9999,0.9938,0.0086,0.0087,80,0.9952,0.0067,0.0067,104
"chr1","-","NOC2L","ENSG00000188976.11","t",954004,954082,954082,955923,"False",955923,956013,"False","False","False","False",-0.0011,0.0208,4.525e-07,0.9925,0.968,0.023,0.0284,55,0.9635,0.0203,0.0235,81
